Coin ID,Valor del activo (en US$),Capitalización total de mercado (market cap),Volumen (volumen 24h),Porcentaje del volumen diario (volumen 24h / market cap),Suministro circulante (circulating supply),Suministro total (total supply),Suministro máximo (max supply),Posición en ranking,Categoría
29015,0.028947309977429,18927721.85136985,974989.87232844,2.08243542,653868075.0,676584793.32,676584793.32,884.0,Presale Memes
29026,0.0034235822331904,2492517.5824372824,330736.92965234,3.72692779,728043731.0,900000000.0,1000000000.0,1498.0,Presale Memes
5994,2.4517169869417106e-05,343014681.7581861,29341435.916718155,1.82201752,15683307747.5,48707481931.09895,1000000000.0,11.0,Presale Memes
23404,1.5695378177441108e-08,6734651.482514989,1018029.20802377,0.16315407,15683307747.5,48707481931.09895,1000000000.0,1249.0,Presale Memes
4978,0.0843398965089562,5578193.440420427,14035.72992035,-2.89121991,66139439.0,66139439.0,184467440.0,1287.0,Presale Memes
16755,1.60046544479436e-08,3649061.214130036,79438.25570349,2.53989272,15683307747.5,48707481931.09895,23499511997.5,1405.0,Presale Memes
29558,0.0042091523984428,7537450.383956748,6571779.10291557,2.13529126,1790728790.61,2339600236.0,2600000000.0,1200.0,Presale Memes
29559,1.1072438720426239,3327723.8062656936,231906.37397361,6.61670984,20000.0,20000.0,20000.0,1430.0,Presale Memes
1405,,,0.0,0.0,701884009.0,701884009.0,1000000000.0,,Presale Memes
29059,0.0003268843212459,3052950.753541512,184158.53074591,-6.45114506,9339544772.0,9339544772.0,10000000000.0,1452.0,Presale Memes
29574,0.0052185756218213,5217432.47926313,2603449.34776458,1.52378482,999780947.4,999994577.83,999994577.83,1310.0,Presale Memes
25479,2.4758748082141536e-08,13130428.71453242,2678967.14475917,2.61993369,15683307747.5,48707481931.09895,23499511997.5,1020.0,Presale Memes
30601,0.0395543794108764,27561522.571654323,1080961.47066674,-4.61084892,696800783.68454,696800783.68454,696833764.99,764.0,Presale Memes
30096,0.0156299994611999,221627279.1387962,27449603.07397311,-8.05490662,14179608879.0,36965935954.0,23499511997.5,261.0,Presale Memes
10641,1.085774312129853e-09,47867404.27702606,1165021.15275644,2.0612053,15683307747.5,48707481931.09895,1000000000.0,613.0,Presale Memes
28053,8.791254089264841e-05,8246991.730945366,884344.13095941,-3.48911762,15683307747.5,48707481931.09895,1000000000.0,1160.0,Presale Memes
24477,4.17851059667108e-10,72896581.39913584,19434956.49724987,-6.26990423,15683307747.5,48707481931.09895,1000000000.0,513.0,Presale Memes
24478,9.834653574970165e-06,343014681.7581861,29341435.916718155,-9.98274733,15683307747.5,48707481931.09895,23499511997.5,24.0,Presale Memes
26532,1.2906447047420652e-08,5429613.208379394,29047.65303683,-0.75726048,15683307747.5,48707481931.09895,23499511997.5,1296.0,Presale Memes
15270,2.2329414038908545e-08,20091658.879983384,6736178.79419993,0.56252206,15683307747.5,48707481931.09895,23499511997.5,858.0,Presale Memes
21414,0.0005576149102191,16038912.232130866,2221955.1643592,-1.71498035,15683307747.5,48707481931.09895,23499511997.5,942.0,Presale Memes
30126,0.0031307964455067,278293017.3755975,29341435.916718155,-6.06100804,15683307747.5,48707481931.09895,23499511997.5,234.0,Presale Memes
28081,0.0074792442124533,6963124.680740094,783490.74081202,10.6260658125,930993090.07,1000000000.0,1000000000.0,1234.0,Presale Memes
30133,0.0139932500734158,11212017.820923593,90231.2610368,-6.77214698,801244726.0,969100193.0,1000000000.0,1068.0,Presale Memes
30647,2.076405031632721e-05,18399083.851816237,27248.46214018,2.95627619,15683307747.5,48707481931.09895,23499511997.5,896.0,Presale Memes
12727,,,0.0,1.24305842,15683307747.5,48707481931.09895,23499511997.5,,Presale Memes
25023,1.595432405729362e-07,117163135.11310668,17466841.08684861,8.58192564,15683307747.5,48707481931.09895,23499511997.5,386.0,Presale Memes
21968,0.0037988141340694,5293089.902088346,315111.15980284,0.31273352,1393353219.0,1417967396.0,2000000000.0,1304.0,Presale Memes
9177,8.65280201678789e-10,34777478.63522949,1743336.77637842,-0.02308793,15683307747.5,48707481931.09895,23499511997.5,704.0,Presale Memes
29150,0.2291278312887838,98473957.64160857,29341435.916718155,10.02095287,429777374.0,555548158.0,555548158.0,438.0,Presale Memes
29153,0.0032831800240148,3019930.3067315947,698548.06589136,8.02831249,919818677.21,999985895.01,1000000000.0,1458.0,Presale Memes
18919,3.2083798204472364e-08,19246632.06428749,183636.92448994,10.6260658125,15683307747.5,48707481931.09895,23499511997.5,871.0,Presale Memes
29675,0.0285672743913612,3174141.595865997,57788.79001252,-0.13510626,111111111.0,125000000.0,125000000.0,1440.0,Presale Memes
29175,0.0001780678265539,129582975.86964704,28101793.61790807,-2.99722989,15683307747.5,48707481931.09895,23499511997.5,364.0,Presale Memes
28664,1.3715970881120675e-05,13228601.74696904,444896.22425504,1.47374659,15683307747.5,48707481931.09895,23499511997.5,1017.0,Presale Memes
9721,0.0083823876200076,30655518.680883896,1726646.83782009,-3.34338268,3657134467.0,4746913623.0,4746913623.0,739.0,Presale Memes
9212,0.0071508295978678,9442157.831143038,227253.46451684,0.48982955,1320428308.6200805,1320428308.6200805,1320428309.0,1117.0,Presale Memes
28674,1.1072438720426239,102625770.83744387,14100398.65737402,-1.94603524,21969520.0,147000000.0,147000000.0,423.0,Memes
11783,1.1072438720426239,62791213.7918777,558074.16286295,-4.52566429,10945063.1828,14954970.323,1000000000.0,543.0,Memes
8719,1.1072438720426239,343014681.7581861,12005317.54824788,-1.96006195,4316265.52791974,8222624.70881089,1000000000.0,175.0,Memes
5647,0.8006013163982723,219729348.6398044,4807110.73839304,-2.21300444,274455392.63952,1000000000.0,1000000000.0,263.0,Memes
20497,1.2262118143860132e-05,22125210.0903084,3105148.86965144,1.75909099,15683307747.5,48707481931.09895,23499511997.5,833.0,Memes
10804,0.0002013200917885,343014681.7581861,29341435.916718155,-9.08665231,15683307747.5,48707481931.09895,1000000000.0,53.0,Memes
29241,0.0078136890031262,53798922.61935516,29341435.916718155,-10.4081555275,6885214218.0,6885214218.0,6885214218.0,581.0,Memes
5691,0.0713316431712243,343014681.7581861,27516051.48070227,-0.09908377,5361561004.0,5447166667.0,7000000000.0,163.0,Memes
8766,1.1072438720426239,77893410.20476978,9294640.02271837,-0.7816486,67913333.0,100000000.0,100000000.0,497.0,Memes
6210,0.4304464124742019,343014681.7581861,29341435.916718155,0.23801506,2265731926.2233224,3000000000.0,3000000000.0,82.0,Memes
8258,0.0144006631141061,84145345.8017255,988083.53095566,-3.76628343,5843157716.765227,8652956008.0,10000000000.0,476.0,Memes
28230,0.1612736076666571,142182791.51537576,14077472.35497113,-0.61643769,881624672.33485,5000000000.0,5000000000.0,345.0,Memes
2130,0.2915337826889249,343014681.7581861,18485612.60933582,-1.80543071,1454774283.2109673,1805665295.488776,1000000000.0,153.0,Memes
23635,1.0188928726226911,343014681.7581861,23801365.03685176,1.269366,365875411.58809054,556236108.2949786,2100000000.0,172.0,Memes
11346,0.0002154733232448,77985984.45969014,9845896.8223403,-1.81431061,15683307747.5,48707481931.09895,23499511997.5,496.0,Memes
28249,0.0131220729216552,40223380.24265998,1204767.10026438,0.53890456,3065322109.0,10000000000.0,10000000000.0,663.0,Memes
9308,1.1072438720426239,119595292.96323788,5849598.05130568,0.34354983,28100000.0,50000000.0,50000000.0,383.0,Memes
4189,0.1570504335859843,58436476.13284367,1234000.5881838,-0.22562939,372087327.609,1000000000.0,1000000000.0,562.0,Memes
8290,0.9593741738604312,343014681.7581861,13256030.34368489,0.92733164,487776093.41691726,999998077.4169172,1000000000.0,136.0,Memes
4710,0.0060704256376378,42128292.28147805,972263.45876078,4.46469749,6939923952.0,10000000000.0,1000000000.0,652.0,Memes
15463,0.0066602784068082,62319351.52369048,935346.7362129,4.08548774,9356868845.0,21353459188.95017,1000000000.0,543.0,Memes
11367,0.525755634612062,30225881.336782668,540989.87023766,-0.3187712,57490361.2,100000000.0,1000000000.0,742.0,Memes
17000,0.0887414290394334,25761336.549151663,3109100.83227526,4.68386615,290296616.0,988886708.59,1000000000.0,778.0,Memes
11374,0.140527384610802,78309980.75071888,10706387.84438832,-2.79230906,557257796.888503,800000000.0,800000000.0,495.0,Memes
7798,,,108366.68450001,2.24911061,346695.49674607,1000000.0,1000000.0,,Memes
6783,1.1072438720426239,343014681.7581861,29341435.916718155,1.89974552,144664035.13711786,270000000.0,270000000.0,78.0,Memes
18069,0.2153220601238347,343014681.7581861,29341435.916718155,0.79406084,2014452156.4739933,5350517221.757748,1000000000.0,151.0,Memes
29335,0.3503182352746406,270109956.1066571,29341435.916718155,-1.64091294,771041667.0,5000000000.0,5000000000.0,240.0,Memes
28829,1.1072438720426239,94972421.04312123,16383484.54231954,-4.43327652,30000396.0,250000000.0,250000000.0,444.0,Memes
30372,1.1072438720426239,193889913.3868448,29341435.916718155,-7.44810988,92841359.0,1007784546.0,1000000000.0,281.0,Memes
9892,5.2284454407862086e-08,19438697.05802935,112947.70782169,0.70659804,15683307747.5,48707481931.09895,23499511997.5,867.0,Memes
