Coin ID,Valor del activo (en US$),Capitalización total de mercado (market cap),Volumen (volumen 24h),Porcentaje del volumen diario (volumen 24h / market cap),Suministro circulante (circulating supply),Suministro total (total supply),Suministro máximo (max supply),Posición en ranking,Categoría
24851,1.8469540051132327e-08,7769950.804110859,1634016.89644628,-2.341774,420690000000000.0,420690000000000.0,420690000000000.0,1186.0,Presale Memes
30484,22.785477726490903,177043161.93483433,3113591.21330783,25.86198605,7770000.0,7770000.0,7770000.0,299.0,Presale Memes
29460,0.4679269447466379,19428337.508200135,2408657.26611192,36.51305574,41520023.0,47500000.0,47500000.0,867.0,Presale Memes
19736,5.156634039992037e-07,6299046.348764672,333603.29550798,1.22488795,12215422502184.0,14047932958970.0,20000000000000.0,1269.0,Presale Memes
15142,0.0011478106320486994,31250645.809901908,588116.23920635,3.01780458,27226308014.0,50000000000.0,,734.0,Presale Memes
29999,1.0962691694705758e-07,7042323.517762031,848450.64662371,-3.35733676,64239000000000.0,69000000000000.0,69000000000000.0,1229.0,Presale Memes
20789,0.01473647359162296,14736473.59162296,640427.31313182,17.91696153,1000000000.0,1000000000.0,,971.0,Presale Memes
29494,0.0015612054920804998,15087421.166812243,2011373.20771949,-13.22169403,9663955990.0,9999609598.0,9999609598.0,967.0,Presale Memes
30008,0.0008837181778899557,277705366.3352789,14277192.21191874,-17.98083804,314246524834.8212,337892270703.0493,420690000000.0,235.0,Presale Memes
24911,0.0011482746372876707,73116044.39546107,42202568.88994994,11.71764937,63674701174.42272,69000000000.0,69000000000.0,510.0,Presale Memes
29015,0.028947309977429093,18927721.851369854,974989.87232844,2.08243542,653868075.0,676584793.32,676584793.32,884.0,Presale Memes
29026,0.0034235822331904436,2492517.5824372824,330736.92965234,3.72692779,728043731.0,900000000.0,1000000000.0,1498.0,Presale Memes
5994,2.4517169869417106e-05,14447279476.679312,1088501918.760049,1.82201752,589271908365775.6,589520024814237.9,,11.0,Presale Memes
23404,1.5695378177441108e-08,6734651.482514989,1018029.20802377,0.16315407,429085008744464.06,999826523767972.0,,1249.0,Presale Memes
4978,0.08433989650895629,5578193.440420427,14035.72992035,-2.89121991,66139439.0,66139439.0,184467440.0,1287.0,Presale Memes
16755,1.60046544479436e-08,3649061.214130036,79438.25570349,2.53989272,227999999999931.0,1000000000000000.0,1000000000000000.0,1405.0,Presale Memes
29558,0.0042091523984428515,7537450.383956748,6571779.10291557,2.13529126,1790728790.61,2339600236.0,2600000000.0,1200.0,Presale Memes
29559,166.3861903132847,3327723.8062656936,231906.37397361,6.61670984,20000.0,20000.0,20000.0,1430.0,Presale Memes
1405,,,0.0,0.0,701884009.0,701884009.0,,,Presale Memes
29059,0.000326884321245964,3052950.753541512,184158.53074591,-6.45114506,9339544772.0,9339544772.0,10000000000.0,1452.0,Presale Memes
29574,0.0052185756218213865,5217432.47926313,2603449.34776458,1.52378482,999780947.4,999994577.83,999994577.83,1310.0,Presale Memes
25479,2.4758748082141536e-08,13130428.71453242,2678967.14475917,2.61993369,530334921255707.06,831016500000000.0,831041059897327.0,1020.0,Presale Memes
30601,0.03955437941087642,27561522.571654323,1080961.47066674,-4.61084892,696800783.68454,696800783.68454,696833764.99,764.0,Presale Memes
30096,0.015629999461199962,221627279.1387962,27449603.07397311,-8.05490662,14179608879.0,36965935954.0,36965935954.0,261.0,Presale Memes
10641,1.085774312129853e-09,47867404.27702606,1165021.15275644,2.0612053,4.40859612741523e+16,4.6775855335611e+16,,613.0,Presale Memes
28053,8.791254089264841e-05,8246991.730945366,884344.13095941,-3.48911762,93809047573.95099,100000000000.0,,1160.0,Presale Memes
24477,4.17851059667108e-10,72896581.39913584,19434956.49724987,-6.26990423,1.74455896934211e+17,1.91609763385755e+17,,513.0,Presale Memes
24478,9.834653574970163e-06,4137339428.9887896,2011158337.4801073,-9.98274733,420689899999994.8,420689899999994.8,420690000000000.0,24.0,Presale Memes
26532,1.2906447047420653e-08,5429613.208379394,29047.65303683,-0.75726048,420690000000000.0,420690000000000.0,420690000000000.0,1296.0,Presale Memes
15270,2.2329414038908542e-08,20091658.879983384,6736178.79419993,0.56252206,899784420897659.2,899784420897659.2,899786437627563.0,858.0,Presale Memes
21414,0.0005576149102191703,16038912.232130866,2221955.1643592,-1.71498035,28763420665.7544,169576385548.3033,200000000000.0,942.0,Presale Memes
30126,0.0031307964455067794,278293017.3755975,47158523.67997167,-6.06100804,88888888888.0,88888888888.0,88888888888.0,234.0,Presale Memes
28081,0.007479244212453335,6963124.680740094,783490.74081202,18.49477912,930993090.07,1000000000.0,1000000000.0,1234.0,Presale Memes
30133,0.013993250073415887,11212017.820923593,90231.2610368,-6.77214698,801244726.0,969100193.0,1000000000.0,1068.0,Presale Memes
30647,2.0764050316327212e-05,18399083.851816233,27248.46214018,2.95627619,886102835021.0,1000600100778.0,1000600100778.0,896.0,Presale Memes
12727,,,0.0,1.24305842,54046882509.60472,90286721009.31483,100000000000.0,,Presale Memes
